leiden_0_4,n_cells,top_tissue,top_tissue_percent,top_dataset,top_dataset_percent,top_assay,top_assay_percent,cellxgene_annotation_n_cells,cellxgene_pct_NK,cellxgene_pct_T,cellxgene_pct_B,yuntao_annotation_n_cells,top_yuntao_annotation,top_yuntao_annotation_percent,yuntao_annotation_composition,final_structured_label,free_label,free_label_reason,needs_human_review,human_review_reason,n_pairwise_de_compared,positive_marker_count,positive_marker_list,negative_marker_count,negative_marker_list
10,38400,lung,95.79,1e6a6ef9-7ec9-4c90-bbfb-2ad3c3165fd1,94.95,10x 3' v2,64.91,38400,99.71,0.28,0.02,38400,Unknown_Lung_6,69.84,"Unknown_Lung_6: 26,818 (69.84%); Unknown_Lung_5: 7,718 (20.1%); Unknown_Lung_4: 1,923 (5.01%); Mature Cytotoxic: 1,231 (3.21%); T: 332 (0.86%); Transitional Cytotoxic: 216 (0.56%)",NK1_Chemokine_inflammatory,NK1_Chemokine_inflammatory_CX3CR1+_FCGR3A+_cytotoxic_CCL4-high,"Strong positive DE of CCL4, FGFBP2, SPON2 and taxonomy core hits for NK1 (CX3CR1, FCGR3A, FGFBP2, GZMB, SPON2). Pan-NK markers (NKG7, GNLY, GZMB, PRF1) are highly expressed. Chemokine_inflammatory state supported by high CCL4/CCL5/CCL3.",True,"Resolve presence of T-cell and epithelial marker signals (TRBC1, CD3G, SFTPC, SCGB1A1) that could indicate doublets/contamination; confirm NCAM1 depletion is biological or technical.",0,50,CCL4; SFTPC; B2M; FGFBP2; APOC1; SCGB1A1; KLRF1; FCGR3A; FABP4; GZMB; CCL18; GZMH; CCL5; SPON2; SCGB3A1; FTL; FTH1; TMSB4X; TRBC1; CCL4L2; ID2; PRF1; S100A4; SFTPA2; C1QB; SFTPB; PPP2R5C; HLA-B; SFTPA1; TXNIP; MARCO; CX3CR1; BTG1; C1QA; CCL3; MALAT1; CXCR4; APOE; PRSS23; SCGB3A2; NKG7; ANXA1; HLA-DRA; S1PR5; PTGDS; S100A6; KLRB1; MCEMP1; PRDM1; AKR1C3,50,MT-CO1; MT-CO2; MT-CO3; MT-ATP6; MT-CYB; MT-ND4; MT-ND3; MT-ND2; MT-ND1; MT-ND5; MT-ND4L; MT-ATP8; IFITM1; COTL1; MT-ND6; MIR142HG; FOS; H1-4; GZMK; JUN; H1-2; LTB; H1-3; EML4; XCL1; MIR23AHG; CRIP1; H4C3; PPP1R15A; TYMS; RELB; CD44; ENSG00000268027.5; NFKB1; ATP8B4; MKI67; ITGAX; KLRC1; H1-10; PLCG2; FOSB; CD82; HELLS; CAPG; CLDND1; KLRC3; LINC01871; H1-5; ENSG00000272256.1; SQSTM1
11,3056,cord blood,93.88,CB07,93.88,Flex Gene Expression,93.88,3056,99.97,0.03,0.0,3056,Mature Cytotoxic,86.62,"Mature Cytotoxic: 2,647 (86.62%); Transitional Cytotoxic: 340 (11.13%); Unknown_Lung_6: 37 (1.21%); Unknown_Lung_5: 12 (0.39%); T: 10 (0.33%); Unknown_Lung_3: 5 (0.16%)",NK2_Homeostatic_quiescent,NK2_cord_blood_IL2RB+_ZBTB16+_KLRF1-low_-_CD56bright-like_quiescent,"Taxonomy matches weakly to NK2 driven by IL2RB (core hit) and IL18RAP; ZBTB16 (PLZF) and cytokine receptor IL2RB are upregulated. Pan-NK program (GNLY, NKG7, PRF1, GZMB) remains broadly detected, while KLRF1 is strongly depleted, consistent with a CD56bright-like/less cytotoxic NK2 state in cord blood.",True,"Mixed signals: IL2RB/ZBTB16 and KLRF1-low support NK2 CD56bright-like identity, but strong cytotoxic gene expression and T-marker positivity warrant manual check for doublets, gating, or subclustering.",0,50,ASTL; TAMALIN; TSPOAP1; IER5; APOBR; CSRNP1; XIST; JUND; ZC3H12A; PLXNA4; IER2; ZBTB16; BTG2; IL2RB; ZFP36L2; MCL1; PMAIP1; H1-2; JUNB; ABCA2; JUN; ADRB2; CD93; FOS; METRNL; ZFP36; PLXND1; IL18RAP; FOSL2; IRF8; CD69; DUSP1; NFKBIZ; NFKBIA; FCRL3; DUSP2; ADGRG1; ENC1; CHMP1B; HIPK2; NR4A1; BCL6; YPEL5; MAFF; PDE4D; ADRA2B; SOCS1; HIPK1; IRS2; DDIT4,50,MALAT1; ACTB; HLA-B; RPS19; FTL; RPS26; MT-CYB; MT-ND2; MT-ND1; NEAT1; MT-ATP6; MT-ND3; MT-ND5; MT-CO1; MT-ND4; B2M; MT-CO2; IFITM1; MT-CO3; HMGN2; S100A6; FTH1; KLRF1; S100A4; S100A11; MT-ND4L; HSPA5; HSP90AB1; TUBA1B; LGALS1; HLA-DPA1; HLA-DPB1; HNRNPH1; MT-ATP8; HLA-DRA; SLC2A3; CD52; HLA-DRB1; RPS4Y1; HSPD1; ARL6IP1; GOLGA4; TUBA1A; HSPE1; TUBB; LINC00861; CALR; ANXA1; MIR142HG; DDX3X
12,15756,cord blood,92.32,CB07,92.32,Flex Gene Expression,92.32,15756,99.98,0.02,0.0,15756,Cytokine-Stimulated,74.19,"Cytokine-Stimulated: 11,689 (74.19%); Proliferative: 2,734 (17.35%); Mature Cytotoxic: 670 (4.25%); Transitional Cytotoxic: 478 (3.03%); T: 106 (0.67%); Unknown_Lung_4: 27 (0.17%)",NK1_Proliferating,Proliferating_cytotoxic_NK_NK1,"Strong proliferation program (MKI67, TYMS, CDK1, TOP2A) and high cytotoxic NK transcripts (GNLY, GZMA, NKG7, PRF1) with broad pan-NK detection (median pan-NK pct_nz ~0.94) support a proliferating cytotoxic NK identity; KLRF1 is depleted and some T markers (CD3E, TRAC, TRBC1) are present, so ambiguity remains.",True,T-lineage marker expression and KLRF1 depletion create ambiguity between proliferating NK vs proliferating T cells or doublets; recommend checking NCAM1/EOMES protein/UMI-level expression and doublet metrics to confirm NK identity.,0,50,GPR15; H1-5; MKI67; TYMS; DUSP4; TPX2; NUSAP1; CDK1; CENPM; ADAM19; H2BC9; H1-2; AHR; TK1; HELLS; APOBR; TOP2A; DLGAP5; GNA15; ASF1B; H1-10; GPAT3; CENPF; MCM7; CENPU; AURKB; CENPE; HPGD; H1-3; ASPM; CD28; LPAR6; CSF2RB; KNL1; BHLHE40; KIF14; PLK1; BIRC5; HMMR; CD93; LMNB1; PTTG1; GTSE1; XIST; TOX2; CD82; PCLAF; LTB; PFKFB3; VIM,50,MALAT1; HLA-B; ACTB; RPS19; FTL; RPS26; NEAT1; IFITM1; B2M; KLRF1; MT-ND1; SPON2; MT-ND2; MT-ND5; TSC22D3; HMGN2; HSPA5; MT-ND3; HSP90AB1; DUSP1; FGFBP2; FTH1; HLA-DPB1; MT-CO1; HLA-DPA1; TUBA1B; MT-ATP8; MT-CYB; IFITM3; SLC2A3; HNRNPH1; GZMH; HLA-DRA; HLA-DRB1; C1orf162; MT-ATP6; RPS4Y1; KLF2; LINC00861; GOLGA4; FCRL6; ADGRG1; ZFP36; PRSS23; AREG; MT-ND4L; MT-ND4; CD160; HSPD1; MT-CO2
13,2421,decidua,96.49,74cff64f-9da9-4b2a-9b3b-8a04a1598040,96.49,10x 3' v2,96.41,2421,99.92,0.08,0.0,2421,Transitional Cytotoxic,95.62,"Transitional Cytotoxic: 2,315 (95.62%); Regulatory: 41 (1.69%); Mature Cytotoxic: 34 (1.4%); T: 26 (1.07%); Proliferative: 3 (0.12%); Unconventional: 1 (0.04%)",NK2_Chemokine_inflammatory,NK2_Chemokine_inflammatory_decidual_XCL+_IFN_tissue-resident,"Strong upregulation of chemokines XCL1 and XCL2 and NK2 taxonomy support (core hits XCL1/XCL2/KLRC1). Concurrent IFN-stimulated genes (MX1, IFI44L, IRF7) present. Typical circulatory cytotoxic NK markers are depleted (FGFBP2, FCGR3A, PRF1, KLRF1), consistent with a tissue-adapted chemokine/IFN-responsive NK2-like decidual population. Some tissue-residency hits (ZNF683, ITGA1, KIR2DL4) further support a tissue NK phenotype. Pairwise split audit: Pairwise DE shows cluster 13 is overwhelmingly decidual (96%) with strong XCL1/XCL2 chemokine signal plus IFN-stimulated genes (MX1, IFI44L, IRF7) and tissue-residency hits (ZNF683, ITGA1, KIR2DL4). Canonical circulating cytotoxic NK markers (FGFBP2, FCGR3A, PRF1) are strongly depleted, consistent with a tissue-adapted, IFN-responsive NK2 chemokine population in decidua. Pairwise split audit: Pairwise DE (13_vs_6) shows strong upregulation of XCL1/XCL2 and IFN-stimulated genes (MX1, IFI44L, IRF7) and tissue-residency/support hits (ZNF683, ITGA1, KIR2DL4) while canonical circulating cytotoxic markers (FGFBP2, FCGR3A, PRF1, KLRF1) are strongly depleted. Composition is overwhelmingly decidua. These differences support a decidual, IFN-responsive, tissue-adapted NK2 chemokine population distinct from the cytotoxic/AREG+ NK2 in cluster 6.",True,"CD3E expression and strong depletion of canonical cytotoxic NK markers warrant inspection for T/NKT contamination, doublets, or decidua-specific program confirmation.; Cluster 13 shows very high mitochondrial gene expression and low-level T-marker signal in both clusters (CD3E/CD3D) — recommend manual check to exclude technical artifacts or doublet contamination while accepting the biological split.; Cluster 6 shows erythroid marker signal; cluster 13 shows CD3E/T signal — review for doublets/contamination and confirm tissue-residency assignment with orthogonal markers.",2,50,KRT81; IGFBP2; KRT86; H2AC19; XCL1; ITGAD; IFI44L; MT-ATP8; BGLAP; CAPG; ZNF683; SRGAP3; ADGRG3; XCL2; MX1; TNFRSF18; KIR2DL4; MT-ND4L; OASL; BCO2; PCBP3; COTL1; MT-ND3; CXCR3; GSTM2; CD9; PLP2; MT-ND5; CD3E; MT-ND6; CLNK; IRF7; IFITM1; MYO1E; ZFHX3; ITGA1; ID3; NR4A1; SPRY2; KLRC1; TMIGD2; PPP1R2C; PPFIBP1; XAF1; LINC00996; TNFRSF4; RSAD2; RBKS; IFI44; SPINK2,50,FCGR3A; FGFBP2; SPON2; MALAT1; CD74; FTL; PPP2R5C; PRF1; ZEB2; KLRF1; S1PR5; B2M; CXCR4; SYNE2; TMSB4X; RPS4Y1; TXNIP; CX3CR1; TGFBR3; S100A4; PRSS23; CEP78; CLEC2D; HLA-DRA; ADGRG1; PDE4D; RORA; HLA-DPA1; GZMH; MTSS1; HLA-DPB1; SYNE1; HLA-DRB1; S100A9; CD226; LYAR; ARID5B; AKR1C3; MYOM2; LINC00861; PRDM1; S100A8; P2RY8_ENSG00000182162; KLRG1; S100A6; RAP1GAP2; ZBTB16; IGKC; LYZ; F2R
14,5263,blood,55.39,965386e9-1e4f-466d-bf59-ebdca4b66b9b,21.19,10x 5' v1,37.93,5263,99.96,0.04,0.0,5263,Mature Cytotoxic,56.26,"Mature Cytotoxic: 2,961 (56.26%); Transitional Cytotoxic: 2,157 (40.98%); Proliferative: 56 (1.06%); T: 33 (0.63%); Unknown_Lung_4: 33 (0.63%); Unknown_Lung_3: 9 (0.17%)",NK2_CIMP_cytokine_primed_memory_like,NK2_cytokine-primed_memory-like_TCF7+_SELL+_GZMK+_with_XCL1_2_chemokine_program,"Top DE and taxonomy strongly support NK2: high SELL, TCF7, IL7R, GZMK, XCL1/XCL2, KLRC1 and explicit NK2 taxonomy match. State support for cytokine-primed/memory-like comes from core hits GZMK and TCF7 and support hits (CD44, LTB) and absence/low expression of terminal cytotoxic markers (FGFBP2, FCGR3A, depleted GZMB).",True,"Erythroid markers (AHSP, HBB) and some T-cell marker signal present despite strong NK2 signature; confirm NK identity and exclude contamination/doublets.",0,50,SELL; SPTSSB; IL7R; GZMK; IGFBP4; XCL1; TCF7; XCL2; FXYD7; IFITM3; ZMAT4; IL18R1; GPR183; INPP4B; RPS19; MT-ND1; KIR2DL4; IFITM1; KLRC1; MT-CO3; MT-ND4L; GNLY; MT-CO2; MT-ND5; CAPG; CD2; MT-CYB; CD44; MT-ATP6; MT-ND3; MT-CO1; TNFRSF18; CAPN12; MT-ATP8; RPS26; ENSG00000273149.1; CXCR3; ABLIM1; CMC1; C1orf162; SCML1; ITGAX; RAMP1; LEF1; NFKBIA; TIAM1; GATA3; MT-ND6; RUNX2; LTB,50,CCL4; FGFBP2; FCGR3A; ALOX5AP; CCL3; SPON2; CCL5; SYNE2; ZEB2; GZMB; S100A6; LGALS1; S100A4; PPP2R5C; TMSB4X; CCL4L2; IKZF3; S1PR5; PRF1; PRDM1; RORA; GZMH; PRSS23; CX3CR1; HIPK2; FCRL6; GZMA; MTSS1; CEMIP2; AKR1C3; ADGRG1; GNPTAB; SYNGR1; PTGDS; IFNG; KIR2DL3; LMNB1; TIGIT; ATP1B3; MYOM2; PDE4D; CD160; TYMS; MKI67; TK1; RRM2; ADRB2; CENPM; C1QA; NUSAP1
15,17939,lung,93.11,1e6a6ef9-7ec9-4c90-bbfb-2ad3c3165fd1,50.07,10x 5' transcription profiling,38.37,17939,97.24,2.76,0.01,17939,T,26.03,"T: 4,670 (26.03%); Unknown_Lung_4: 4,493 (25.05%); Unknown_Lung_6: 3,960 (22.07%); Unknown_Lung_5: 3,775 (21.04%); Unconventional: 592 (3.3%); Proliferative: 230 (1.28%)",NK2_Chemokine_inflammatory,NK2_Chemokine_inflammatory_lung_ER-stress_cytokine_high,"Strong positive DE of chemokine/inflammatory genes (XCL1, XCL2, CCL3/CCL4, IFNG) and taxonomy support for NK2 (core hits GZMK, XCL1/XCL2, KLRC1). ER-stress/UPR signature present (HSPA1A, HSPA1B, DNAJB1, DUSP1). NK cytotoxic markers are relatively depleted (GNLY, GZMB, FGFBP2), and pan-NK markers overall show modest depletion but remain broadly detected, consistent with an NK2 inflammatory state with attenuated cytotoxic program. Pairwise split audit: Pairwise DE shows cluster 15 is predominantly lung (93%) and while it shares the NK2 chemokine core (XCL1/XCL2, CCL3/CCL4), it is distinguished by an ER-stress/UPR signature (HSPA1A/HSPA1B, DNAJB1, DUSP1) and increased cytokine-related hits including IFNG and GZMK. Pan-NK cytotoxic metrics are relatively higher (and differentially expressed) compared with cluster 13, indicating a distinct lung/ER-stress-associated NK2 inflammatory state.",True,"T-cell marker positivity and extreme mitochondrial gene depletion could indicate doublets, contamination, or technical artifacts affecting marker signals; recommend manual inspection of cell-level QC and cluster purity before finalizing annotation.; Cluster 13 shows very high mitochondrial gene expression and low-level T-marker signal in both clusters (CD3E/CD3D) — recommend manual check to exclude technical artifacts or doublet contamination while accepting the biological split.",1,50,HSPA1B; DNAJB1; HSP90AA1; DUSP2; BTG1; XCL1; HSPA1A; XCL2; CD69; HSP90AB1; IGHG3; DUSP1; SCGB3A2; CCL4; RGS1; NR4A1; JUN; ITM2C; HSPE1; ZFP36; DNAJA1; GZMK; DNAJB4; HSPH1; HSPD1; KLRC1; LDB2; CCL4L2; IGHG4; HBG1; HSPA6; NFKBIA; PPP1R15A; IFNG; IGLC7; SFTPC; IGLC2; KLRB1; RGCC; CRTAM; SLC2A3; CCL3; CD3D; CD44; BAMBI; CEBPD; SFTPA2; IGKC; TNFSF9; H2AC14,50,MT-CO1; MT-CO2; MT-CO3; MT-ATP6; MT-CYB; MT-ND4; MT-ND3; MT-ND2; MT-ND1; MT-ND5; MT-ND4L; MT-ATP8; MT-ND6; FGFBP2; GNLY; IGFBP7; S100A4; S100A6; SPON2; GZMB; PRF1; LGALS1; SYNE2; ITGAX; PRSS23; S100A8; FCGR3A; PTGER2; AKR1C3; C1orf162; XIST; S100A9; PTGDS; GNPTAB; ASCL2; HIPK2; ENSG00000272256.1; IFI44L; IFI6; AHNAK; FCRL6; SORL1; FNDC3B; ANXA1; CD226; IRF9; MIR142HG; MYO1E; ITGAD; IGF2R
16,14707,blood,40.93,53d208b0-2cfd-4366-9866-c3c6114081bc,42.27,10x 3' v3,39.89,14707,34.11,0.06,65.83,14707,B,65.96,"B: 9,701 (65.96%); Proliferative: 4,980 (33.86%); T: 9 (0.06%); Mature Cytotoxic: 5 (0.03%); Transitional Cytotoxic: 5 (0.03%); Cytokine-Stimulated: 4 (0.03%)",Non-NK,B_cells_mature_B-lineage,"Strong positive B-cell markers (MS4A1, CD79A, PAX5, BANK1, BLK, FCRL1) with very large logFC (~7-9) and high pct_in_cluster; concurrent strong depletion of pan-NK cytotoxic markers (GNLY, PRF1, NKG7, GZMB, GZMA, EOMES, NCAM1) with median pan-NK logFC ~ -9.34. Curated B_cell program mean is high (2.70) while NK cytotoxic program is very low (0.055), supporting a B-cell identity.",False,,0,50,MS4A1; CD79A; BLK; LINC00926; ARHGAP24; BANK1; FCRL1; NIBAN3; AFF3; PAX5; MARCHF1; RALGPS2; EBF1; CD22; TNFRSF13C; BCL11A; FCRLA; PLEKHG1; VPREB3; HLA-DQA1; CDK14; FCER2; LY86; FCRL2; TNFRSF13B; SPIB; KHDRBS2; IGHM; MEF2C; HLA-DQB1; TCL1A; IGHD; TLR10; IFNGR2; BTLA; CD24; ADAM28; LINC01781; ALOX5; ST6GALNAC3; HLA-DRA; CD79B; FAM30A; CR1; CD1C; FCRL5; CLECL1P; TCF4; POU2F2; CYBB,50,NKG7; GNLY; PRF1; GZMA; GZMB; KLRB1; CCL5; ID2; CCL4; IL2RB; FCGR3A; B2M; ANXA1; KLRF1; S100A4; GZMH; FGFBP2; IL32; SPON2; CLIC3; TMSB4X; TRDC; CMC1; TRBC1; IFITM1; CCL3; KLRC1; SH2D1B; AOAH; CD2; GIMAP4; LGALS1; XCL2; CD3E; IGFBP7; S1PR5; BHLHE40; ADGRG1; MT2A; SLFN5; ACTG1; RORA; S100A11; SYTL3; SLA2; FOSL2; NCAM1; CX3CR1; PTGER2; S100A6
17,6316,blood,87.27,2c820d53-cbd7-4e0a-be7a-a0ad1989a98f,87.14,ScaleBio single cell RNA sequencing,87.14,6316,99.97,0.0,0.03,6316,Mature Cytotoxic,77.55,"Mature Cytotoxic: 4,898 (77.55%); Transitional Cytotoxic: 883 (13.98%); Proliferative: 349 (5.53%); Unknown_Lung_4: 71 (1.12%); Unknown_Lung_6: 58 (0.92%); Unknown_Lung_1: 37 (0.59%)",NK2_Checkpoint_exhausted,NK2_Checkpoint_exhausted_IKZF2+_low_cytotoxic_program,"Cluster shows weak NK2 taxonomy support driven by IKZF2 and positive DE of RAP1GAP2/PLCB1/AOAH/ZBTB20 while canonical NK cytotoxic markers (GZMA, GZMB, NKG7, GNLY) are strongly depleted; non-NK lineage markers are not enriched, consistent with a non-cytotoxic/exhausted NK2-like blood population.",True,Weak taxonomy support and strong depletion of canonical NK cytotoxic markers make subtype/state assignment uncertain; review recommended to confirm NK identity versus an atypical/non-cytotoxic population.,0,50,LINC02899; PLCB1; MIR646HG; RAP1GAP2; PZP; A2M; FNDC3B; BNC2; PPM1L; LINC01505; ZBTB20; CDC14A; UTRN; LINC-PINT; FTX; TGFBR3; SYNE1; APPAT; ATP8A1; AOAH; PDGFD; A2M-AS1; LINGO2; HERC1; WWOX; CLASP1; KMT2C; SYNE2; GSAP; NFAT5; SETD2; YES1; TBL1X; ZNF407; MACF1; ATM; DENND4A; CCDC144A; IKZF2; LINC00299; NPIPB5; BLTP1; ITPR2; MYBL1; AK5; NPC1; ASH1L; RORA; ZEB2; GOLGA4,50,TMSB4X; B2M; FTH1; FTL; NKG7; RPS19; S100A4; GZMA; RPS26; GZMB; MT-CO2; S100A6; MT-ND3; IFITM1; CD74; CD52; MT-CO3; GNLY; LGALS1; JUNB; MT-CYB; CCL4; ACTG1; KLRB1; S100A11; CRIP1; FOS; MT-ND4L; IL32; ALOX5AP; NFKBIA; ACTB; DDIT4; VIM; GZMH; MT2A; IER2; CLIC3; MT-ATP6; BTG1; TRDC; HSPE1; MT-ND2; JUN; IFITM3; ISG15; H4C3; MT-CO1; DUSP1; XCL2
18,5730,decidua,99.9,74cff64f-9da9-4b2a-9b3b-8a04a1598040,99.9,10x 3' v3,99.77,5730,99.37,0.63,0.0,5730,Regulatory,99.16,"Regulatory: 5,682 (99.16%); T: 36 (0.63%); Transitional Cytotoxic: 8 (0.14%); Mature Cytotoxic: 3 (0.05%); Unknown_Lung_1: 1 (0.02%)",Non-NK,Decidual_stromal_epithelial-like_Non-NK,"Strong enrichment of stromal/epithelial markers (KRT19, COL1A1, DCN, LUM, KRT8) and ECM/secreted programs (SPP1, FN1, TIMP3) with large positive logFCs; pan-NK cytotoxic markers are strongly depleted (PRF1, GZMA, GZMB, NKG7, EOMES, KLRF1), and taxonomy-level summary flagged Stromal_Epithelial as strongest non-NK match. Cluster composition is almost entirely decidua.",False,,0,50,GPX3; NNMT; CP; TM4SF1; SPP1; CRYAB; GDF15; TIMP3; DEPP1; NUPR1; SLPI; MT1G; WFDC2; MYO1E; PDZK1IP1; KRT19; KRT7; FN1; CDKN1C; CATSPERB; SRGAP3; SERPING1; KCNQ5; RASGEF1B; COL3A1; HBA2; TFPI2; EPAS1; FLT1; PID1; VCAN; G0S2; GLIS3; ZFHX3; CD24; MGAT5; ITGAD; CLNK; RASSF8; HBA1; ENSG00000224228.2; LCN2; IGFBP3; PTPN14; ITGA1; ATP8B4; DRAIC; DCN; EFNA5; NCAM1,50,B2M; NKG7; TMSB4X; PRF1; GZMA; ACTB; RPS26; S100A4; GZMB; IFITM1; RPS19; HLA-B; CCL5; KLRB1; S100A6; FGFBP2; ACTG1; CD52; GZMH; FCGR3A; CRIP1; KLRF1; SPON2; BTG1; ALOX5AP; CXCR4; IL32; TRBC1; CLIC3; JUNB; HSPE1; TXNIP; DUSP2; IRF1; ARL6IP1; S1PR5; TSC22D3; NFKBIA; CD69; GIMAP4; PPP1R15A; ZFP36; KLF2; CDC42SE1; CD74; CD3E; CHMP1B; LYAR; C1orf162; PTPN6
19,1395,spleen,95.27,644a578d-ffdc-446b-9679-e7ab4c919c13,95.05,10x 3' v2,95.41,1395,97.06,0.0,2.94,1395,B,83.01,"B: 1,158 (83.01%); Mature Cytotoxic: 192 (13.76%); Proliferative: 19 (1.36%); Transitional Cytotoxic: 14 (1.0%); T: 9 (0.65%); Unconventional: 2 (0.14%)",NK2_ER_stress_UPR,B_cells_spleen,"Top DE genes are canonical B cell markers and immunoglobulins (IGKC, IGHM, IGHA1, IGLC2/3, CD79A, CD79B, MS4A1, JCHAIN) with large logFC; taxonomy and lineage sanity check indicate strong B signature and pan-NK markers are depleted (NCAM1, GNLY, GZMA, PRF1), supporting a non-NK B-lineage identity.",True,High mitochondrial gene expression noted (stress_mito score and several MT genes high) which may reflect stress or technical effects; Presence of substantial immunoglobulin expression along with MS4A1—verify B vs plasmablast/plasma differentiation (not resolved here); Minor signals for T-group markers in taxonomy summary suggest checking for potential doublets or mixed population,0,50,IGLC3; IGHM; IGLC2; JCHAIN; IGHA1; IGHG1; TCL1A; IGKC; IGHG2; VPREB3; CD79A; MS4A1; LINC00926; ARHGAP24; DNASE1L3; HLA-DQA1; HLA-DQB1; HLA-DRA; LINC01781; DEFA3; CD79B; IGHG3; FCER2; LTB; TNFRSF13C; MT-ND4; IGHD; CD22; HLA-DRB1; HLA-DPB1; MZB1; MARCHF1; MT-ND2; P2RX5; HLA-DPA1; BANK1; TNFRSF13B; CD74; RPS19; CD27; BTG1-DT; BIRC3; LY86; HLA-DRB5; IL7R; MT-CO3; FAM30A; MT-CYB; IGKV4-1; FCRLA,50,NKG7; CRIP1; IFITM1; GNLY; FOS; GZMA; NR4A2; IER2; ZFP36; JUNB; JUND; AHNAK; KLF6; BHLHE40; TNFAIP3; IL2RB; ITGB1; ACTG1; PRF1; PPP1R15A; MT-ATP8; FGFBP2; REL; RPS4Y1; MACF1; GNPTAB; MAPRE2; SYNE2; MCL1; UTRN; GZMH; IRF1; CCL5; GADD45B; SYNE1; DNAJB1; DUSP1; ADGRG1; FOSL2; BTG2; NFKBIA; CSRNP1; HMGN2; SERTAD1; MAP3K8; IER5; METRNL; KLRC3; PDE4D; PIK3R1
20,1719,lung,70.74,1e6a6ef9-7ec9-4c90-bbfb-2ad3c3165fd1,97.27,10x 3' v2,74.69,1719,1.63,0.12,98.25,1719,B,98.25,"B: 1,689 (98.25%); Proliferative: 22 (1.28%); Cytokine-Stimulated: 4 (0.23%); T: 2 (0.12%); Transitional Cytotoxic: 1 (0.06%); Unknown_BM_1: 1 (0.06%)",Non-NK,B_cells_MS4A1+_CD79A+_IGKC+,"Cluster shows strong upregulation of B cell markers (CD79A, MS4A1, IGKC, BANK1, CD79B; logFCs ~>2-7 and high pct_in_cluster) and marker-program hit for B cell. Pan-NK markers are strongly and consistently depleted (PRF1, NKG7, GNLY, GZMA, GZMB, KLRF1, NCAM1, EOMES; median pan-NK logFC ~ -8), and taxonomy/non-NK summaries flag this as B-lineage. Curated marker set means support high B_cell score (2.30) vs low NK_cytotoxic (0.063).",False,,0,50,VPREB3; MS4A1; CD79A; HLA-DQA1; HLA-DQB1; TNFRSF13C; BANK1; IGKC; HLA-DRA; IGLC2; LY86; HLA-DRB1; HLA-DPA1; CD24; HLA-DPB1; TNFRSF13B; GPR183; IGHM; MARCHF1; FCRLA; IGHG1; CD22; IGLC3; MEF2C; IGHA1; CD74; IGHG4; IGHG3; HLA-DQA2; LTB; IGHD; FAM30A; ADAM28; CD79B; CD83; CLECL1P; LINC00926; SPIB; BCL11A; FCER2; ARHGAP24; BASP1; TLR10; CCR6; CXCR4; CTSH; HLA-DRB5; PHACTR1; BLK; NCF1,50,NKG7; GNLY; PRF1; GZMA; GZMB; MT-CO1; MT-CO2; MT-CO3; MT-ATP6; MT-CYB; MT-ND4; KLRB1; MT-ND3; CCL5; MT-ND2; MT-ND1; ID2; MT-ND5; IL2RB; FCGR3A; IFITM1; KLRF1; GZMH; FGFBP2; S100A4; CMC1; ANXA1; MT-ND4L; SPON2; CCL4; IL32; TRDC; CLIC3; SYTL3; AOAH; TRBC1; SYNE2; GIMAP4; KLRC1; SH2D1B; PIK3R1; TNFAIP3; CD3E; MT-ATP8; XCL2; CD2; IGFBP7; S1PR5; ZEB2; ADGRG1
