leiden_0_4,n_cells,review_decision,reviewed_structured_label,reviewed_label_short,reviewed_label_detail,discrepancy_flags,review_reason,confidence_score,needs_human_review_reviewed,human_review_reason_reviewed
10,38400,revise,cNK_Cytotoxic_activated,cNK_Cytotoxic_FGFBP2+,"Conventional lung cytotoxic NK cells (FGFBP2, GZMB/H, PRF1, NKG7) with surfactant/macrophage ambient signals and TRBC1 suggesting doublets/contamination",possible_contamination; lineage_ambiguous,"Strong pan-cytotoxic NK signature: FGFBP2 (pct 0.864), GZMB (0.944), GZMH (0.712), PRF1 (0.906), NKG7 (0.994), S1PR5/CX3CR1 support NK identity in a lung dataset (~96%). Concurrent expression of surfactant genes (SFTPA1/2, SFTPB, SFTPC), macrophage markers (MARCO, C1QA/B, APOC1/APOE, FABP4) at lower pct and high TRBC1 (0.58) indicate epithelial/macrophage ambient signal or T-cell/macrophage doublets, so labeled as conventional cytotoxic NK with contamination flagged.",4,True,High TRBC1 and surfactant/macrophage marker presence suggests T-cell or myeloid doublets or ambient RNA; verify purity and consider subclustering/doublet filtering.
11,3056,revise,L6_Developmental_immature_Homeostatic_quiescent,L6_immature_quiescent_cordblood,"Cord-blood developmental/immature NK-like cells (ZBTB16+, IL2RB+, CD69+; low KLRF1 and cytotoxic program)",weak_pan_nk; lineage_ambiguous,"High ZBTB16 (PLZF), IL2RB (CD122), CD69 and developmental TFs (JUN/FOS, NR4A1, BCL6) support immature NK/innate-lymphoid program in cord blood; canonical cytotoxic/NK effector genes (e.g. GZMB/PRF1/NKG7/KIRs) are not detected and KLRF1 is strongly down, suggesting a developmental/quiescent NK-like state rather than mature cytotoxic NK.",3,True,"Some markers (CD93, FCRL3) could indicate alternative lineage contamination or atypical expression; lack of canonical pan-NK effectors and mixed marker signals warrant manual confirmation."
12,15756,revise,Non-NK,Proliferating_cord-blood_cells,"Strong cell-cycle/proliferation program (MKI67, TYMS, CDK1, TOP2A, MCM7, BIRC5); depleted canonical NK markers (KLRF1, GZMH, CD160)",weak_pan_nk; lineage_ambiguous,"Cluster dominated by proliferation and mitotic markers (MKI67, TYMS, TPX2, NUSAP1, CENP* family, PLK1) in cord blood; canonical NK/cytotoxic markers (KLRF1, GZMH, CD160, FCRL6) are strongly downregulated, so labeling as NK is unsupported.",3,True,"Ambiguous lineage — proliferative signature could reflect dividing T cells, progenitors, or myeloid precursors; recommend checking CD3 (CD3D/E), CD4/CD8, CD14, CD34 and protein/CITE data to resolve identity."
13,2421,revise,Non-NK,TRM_CD3+_decidua,"CD3E+, ZNF683+, ITGA1+, XCL1/2+, ISG-high; canonical NK cytotoxic markers (FCGR3A, FGFBP2, PRF1, GZMH) depleted — likely tissue‑resident T/NKT-like cells in decidua",lineage_ambiguous; weak_pan_nk; possible_contamination,"From decidua; strong CD3E (82%), ZNF683, ITGA1, XCL1/2 and interferon-stimulated genes up, while core peripheral NK/cytotoxic markers (FCGR3A, FGFBP2, PRF1, GZMH) are strongly down — supports T/TRM or NKT identity rather than conventional NK.",3,True,"Overlap of NK receptors (KLRC1, KIR2DL4) with high CD3E — confirm T vs NKT vs tissue NK identity and assess keratin signal (KRT81/86) for possible doublets/epithelial contamination."
14,5263,revise,Non-NK,T_GZMK_Tcm_like,"GZMK+ T central/memory-like cells (TCF7, IL7R, SELL high; canonical NK/cytotoxic markers depleted)",weak_pan_nk; lineage_ambiguous,"Marker profile shows strong T-cell program (SELL, IL7R, TCF7, GZMK, XCL1/XCL2, CD2, CD44) and depletion of canonical NK/cytotoxic markers (FGFBP2, FCGR3A/CD16, GZMB, PRF1, S1PR5). Top tissue: blood.",3,True,KLRC1 and KIR2DL4 (NK-associated) are up but core NK cytotoxic genes are depleted — verify CD3/CD8 expression and exclude mixed NK/T doublets or annotation error.
15,17939,revise,trNK_Chemokine_inflammatory,trNK_Chemokine_inflammatory,"lung tissue-resident NK-like cells with strong XCL1/2, CCL3/4, CD69, KLRC1 and IFNG; depleted core cytotoxic genes",weak_pan_nk; possible_contamination,"Cluster expresses chemokine/inflammatory NK signals (XCL1/XCL2 up, CCL3/CCL4/CCL4L2 up), tissue-residency/activation markers (CD69 up, CD44 up) and NK receptor KLRC1 and KLRB1, plus IFNG and GZMK. However canonical cytotoxic NK markers are depleted relative to reference (FGFBP2, GNLY, GZMB, PRF1 down). Detection of immunoglobulin genes (IGKC, IGHG3/4/IGLCs) and epithelial surfactant genes (SFTPC, SFTPA2, SCGB3A2) indicates mixed-cell signal/contamination in this large lung cluster.",3,True,Mixed signal: chemokine/TR NK program present but reduced pan-cytotoxic NK markers and notable B/epithelial gene expression; verify identity/deconvolution.
16,14707,revise,Non-NK,B_cells_MS4A1+_CD79A+,"Conventional B cell population (high MS4A1, CD79A/B, PAX5, IGHM/IGHD; HLA-II+); depleted NK/T cytotoxic markers",,"Strong upregulation of canonical B cell markers (MS4A1 logFC 8.94, CD79A 8.47, PAX5, EBF1, IGHM/IGHD, TNFRSF13C, FCRL family, HLA-DRA) and marked downregulation of NK/T cytotoxic genes (NKG7, GNLY, PRF1, GZMA/B/H, KLR genes, CD3E, TRBC1/ TRDC); top tissue blood supports circulating B cells.",5,False,
17,6316,revise,Non-NK,Non-NK_structural_cytoskeletal,"Enriched for structural/cytoskeletal and regulatory genes (UTRN, SYNE1/2, MACF1, ZBTB20, IKZF2) with depletion of NK/cytotoxic program (NKG7, GNLY, GZMA/B/H)",lineage_ambiguous; weak_pan_nk,"Cluster shows strong upregulation of structural and transcriptional regulator genes (UTRN, SYNE1/SYNE2, MACF1, ZBTB20, IKZF2, RORA) and lacks core NK/cytotoxic markers which are strongly downregulated (NKG7, GNLY, GZMA, GZMB, GZMH). Top tissue is blood but marker set is inconsistent with NK identity, supporting a Non-NK assignment.",4,True,Ambiguous lineage — high expression of structural/TF genes suggests stromal/contaminating non-immune population or unusual blood cell subset; confirm exact cell type and rule out doublets/ambient RNA.
18,5730,revise,Non-NK,decidual_stroma_trophoblast,"Decidual stromal/epithelial-like (KRT7/KRT19, FN1, DCN, COL3A1, SPP1) lacking NK cytotoxic program",lineage_ambiguous; possible_contamination,"Strong upregulation of epithelial/stromal and ECM genes (KRT7, KRT19, FN1, COL3A1, DCN, TIMP3, SPP1, WFDC2, IGFBP3) and decidua-associated genes (EPAS1, FLT1). Canonical NK/T markers and cytotoxic genes are depleted (NKG7, PRF1, GZMA, GZMB, S1PR5, KLRs, CD3E), supporting a non-NK identity. Presence of HBA1/HBA2 suggests possible RBC contamination and high NCAM1 (CD56) raises ambiguity with decidual NK vs trophoblast/stroma.",3,True,High NCAM1 (CD56) vs strong depletion of NK cytotoxic markers; confirm trophoblast vs CD56bright dNK and assess hemoglobin/RBC contamination
19,1395,revise,Non-NK,B_plasma_cells,"Strong B / plasma-cell program (high IGH/IGK/IGL, JCHAIN, MZB1, CD79A/B, MS4A1)",,"Top markers are immunoglobulin genes (IGKC, IGLC2/3, IGHM, IGHA1, IGHGs), JCHAIN, MZB1, CD79A/B and HLA-II consistent with B cells/plasma cells; canonical NK/cytotoxic markers (NKG7, GNLY, GZMA, PRF1) are depleted. Sample from spleen supports lymphoid B population.",5,False,
20,1719,revise,Non-NK,B_cells_HLA-II_IGH+,"Mature/activated B cells (MS4A1/CD79A, IGKC/IGL, strong HLA‑II/CD74)",,"Cluster strongly expresses canonical B cell markers (MS4A1, CD79A/B, IGKC, IGLC2/3, IGHM/IGHG/IGHA, CD74, HLA-DRA/DRB1/DPA1/DPB1) and B‑lineage regulators (BANK1, SPIB, BLK). Pan‑NK and T/NK cytotoxic markers are markedly depleted (NKG7, GNLY, PRF1, GZMA/B/H, KLR genes, TRDC, CD3E), supporting a non‑NK identity. Top tissue is lung but lineage assignment is driven by B cell signature.",5,False,
21,8193,revise,Non-NK,Erythroid_precursors_bm,"Strong erythroid/erythroblast signature (HBB, HBA1/2, ALAS2, AHSP, SLC4A1) in bone marrow; canonical NK TFs/markers (EOMES, KLRC1, S1PR5, TIGIT) depleted",possible_contamination; weak_pan_nk; lineage_ambiguous,"Cluster from bone marrow shows high expression of hemoglobin and erythroid genes (HBB, HBA1/2, ALAS2, AHSP, GYPB, SLC4A1) consistent with erythroid precursors; NK-defining transcription factor EOMES and several NK receptors (KLRC1, KLRC3, S1PR5, TIGIT) are strongly down, while some cytotoxic genes (NKG7, GNLY, GZMA/B/H, FGFBP2) are up likely reflecting contamination or doublets.",4,True,"Presence of multiple cytotoxic/NK-associated genes (NKG7, GNLY, GZMA/B/H, FGFBP2) alongside strong erythroid program suggests contamination, doublets, or mixed subpopulations that warrant manual inspection."
22,929,revise,Non-NK,Inflammatory_monocytes_blood,"Peripheral blood inflammatory monocytes (IL1B, FCN1, CLEC7A, MS4A7, SPI1)",weak_pan_nk,"Clear myeloid/inflammatory monocyte signature: upregulated CLEC7A, FCN1, IL1B, MS4A7, SPI1, CYBB, NCF2, PLAUR and other macrophage/monocyte genes, with strong depletion of NK/T markers (NKG7, GNLY, PRF1, GZMB, CD3E). Cells predominantly from blood.",5,False,
23,4071,revise,Non-NK,Alveolar_AT2_club,Alveolar epithelial (AT2/club) identity with strong surfactant and secretoglobin expression; NK/cytotoxic genes likely contamination/doublets,lineage_ambiguous; possible_contamination,"Strong epithelial markers (SCGB3A1, SCGB1A1, SFTPC, SFTPA1, FABP4, CLDN5) define alveolar/club/AT2 cells; cytotoxic/NK genes (GZMB, PRF1, FCGR3A, KLRB1, FGFBP2, KLRF1) are also high, suggesting doublet/ambient signature rather than true NK lineage in lung tissue.",3,True,"Co-expression of robust epithelial markers and widespread NK/cytotoxic transcripts — inspect for doublets, ambient RNA, or mixed cell population."
24,1124,revise,Non-NK,Macrophage_CD163_MRC1,"Lung macrophage-like cluster (CD163, MRC1, SLC11A1, ALOX5, ANPEP up); depleted NK/T cytotoxic program",,"Strong upregulation of macrophage markers CD163 and MRC1 (also SLC11A1, ALOX5, ANPEP, CSF2RA) with concurrent strong depletion of pan-NK/T cytotoxic genes (NKG7, GNLY, GZMA/B, PRF1) and TCR genes (CD3E, TRBC1/TRDC). Top tissue is lung, consistent with tissue macrophages.",5,False,
